8213034715,15,12.373,baman,3,12,20,book1,5
8213034725,65,21.33,thmpu,2,64,75,watch1,9
8213034735,85,23.3,lovekush,4,45,90,remote1,10
8213034745,115,44.44,jaipanee,3,111,130,s3phone,4
8213034755,950,12.1,john,2,700,999,iphone6,7
8213034705,95,2.92,alphi,0,95,117.5,xbox,4
8213034765,145,34.9,jukati,4,111,200,screwbox,9
8213034775,195,67.27373,lui fung,3,195,195,datapack1,12
8213034785,286,89.373,valleryka,3,200,300,wddisk,23
8213034795,766,90.33,jesika24,2,500,800, iphone6,63
8213034105,845,12.45,remisha,1,700,880, iphone6,20
8213034205,23,56.54,alokion,0,12,30,book23,44
8213034305,14,78.9,nimarana,4,10,25,babytoy,45
8213034405,09,45.12,great123,2,01,12,babytoy1,56
8213034505,11,32.73,zellonee,3,10,15,toy2,23
8213034605,22,21.2,papa1234,1,20,27,toy3,12
8213034805,76,29.1,monkey123,0,50,90,book1,15
8213034905,98,56.44,wowwow,4,50,100,AmzoneVoucher,16
8213034005,144,16.8,merahero,3,100,150,flipkartvoucher,19
8213035705,252,12.11,dabang34,2,200,260,snapdealvoucer,22 